fraction_endmember_A,fraction_endmember_B,delta_mixed_permil,endmember_A_delta_permil,endmember_B_delta_permil
0.0,1.0,2.0,-25.0,2.0
0.05,0.95,0.6499999999999999,-25.0,2.0
0.1,0.9,-0.7,-25.0,2.0
0.15,0.85,-2.05,-25.0,2.0
0.2,0.8,-3.4,-25.0,2.0
0.25,0.75,-4.75,-25.0,2.0
0.3,0.7,-6.1,-25.0,2.0
0.35,0.65,-7.45,-25.0,2.0
0.4,0.6,-8.8,-25.0,2.0
0.45,0.55,-10.15,-25.0,2.0
0.5,0.5,-11.5,-25.0,2.0
0.55,0.44999999999999996,-12.850000000000001,-25.0,2.0
0.6,0.4,-14.2,-25.0,2.0
0.65,0.35,-15.55,-25.0,2.0
0.7,0.30000000000000004,-16.9,-25.0,2.0
0.75,0.25,-18.25,-25.0,2.0
0.8,0.19999999999999996,-19.6,-25.0,2.0
0.85,0.15000000000000002,-20.95,-25.0,2.0
0.9,0.09999999999999998,-22.3,-25.0,2.0
0.95,0.050000000000000044,-23.65,-25.0,2.0
1.0,0.0,-25.0,-25.0,2.0
