step,waste_reduction_fraction,waste_mass_kg,e_factor,pmi
0,    0.0000,   18.000000,    7.500000,    8.499999
1,    0.1000,   16.199999,    6.749999,    7.749999
2,    0.2000,   14.400001,    6.000000,    7.000000
3,    0.3000,   12.599999,    5.250000,    6.250000
4,    0.4000,   10.800000,    4.500000,    5.500000
5,    0.5000,    9.000000,    3.750000,    4.750000
6,    0.6000,    7.200000,    3.000000,    4.000000
7,    0.7000,    5.400000,    2.250000,    3.250000
8,    0.8000,    3.600000,    1.500000,    2.500000
9,    0.9000,    1.800000,    0.750000,    1.750000
10,    1.0000,    0.000000,    0.000000,    1.000000
