profile_id,cell_id,state_of_charge_percent,voltage_V,discharge_current_A
vp_001,bat_A,100,3.40,1.0
vp_002,bat_A,80,3.29,1.0
vp_003,bat_A,60,3.23,1.0
vp_004,bat_A,40,3.20,1.0
vp_005,bat_A,20,3.12,1.0
vp_006,bat_A,0,2.80,1.0
vp_007,bat_B,100,4.20,1.0
vp_008,bat_B,80,3.95,1.0
vp_009,bat_B,60,3.75,1.0
vp_010,bat_B,40,3.58,1.0
vp_011,bat_B,20,3.35,1.0
vp_012,bat_B,0,3.00,1.0
vp_013,bat_E,100,2.70,2.0
vp_014,bat_E,80,2.16,2.0
vp_015,bat_E,60,1.62,2.0
vp_016,bat_E,40,1.08,2.0
vp_017,bat_E,20,0.54,2.0
vp_018,bat_E,0,0.05,2.0
