cell_id,cycle_number,discharge_capacity_mAh,charge_capacity_mAh,temperature_C,current_rate_C
bat_A,1,1920,1926,25,0.5
bat_A,20,1904,1908,25,0.5
bat_A,40,1888,1892,25,0.5
bat_A,60,1871,1875,25,0.5
bat_A,80,1856,1859,25,0.5
bat_A,100,1843,1847,25,0.5
bat_B,1,1995,2006,25,0.5
bat_B,20,1958,1968,25,0.5
bat_B,40,1915,1927,25,0.5
bat_B,60,1880,1891,25,0.5
bat_B,80,1842,1854,25,0.5
bat_B,100,1815,1827,25,0.5
bat_D,1,1980,2000,25,0.5
bat_D,20,1900,1920,25,0.5
bat_D,40,1825,1845,25,0.5
bat_D,60,1760,1783,25,0.5
bat_D,80,1710,1732,25,0.5
bat_D,100,1685,1708,25,0.5
bat_G,1,2800,2920,25,0.2
bat_G,20,2450,2600,25,0.2
bat_G,40,2220,2400,25,0.2
bat_G,60,2050,2275,25,0.2
bat_G,80,1930,2180,25,0.2
bat_G,100,1860,2105,25,0.2
