year,modeled_ch4_ppb,fraction_remaining
0, 1950.000000,    1.000000
2, 1650.450928,    0.846385
4, 1396.917114,    0.716368
6, 1182.329712,    0.606323
8, 1000.706360,    0.513183
10,  846.982910,    0.434350
12,  716.873657,    0.367628
14,  606.751160,    0.311154
16,  513.545227,    0.263357
18,  434.657043,    0.222901
20,  367.887268,    0.188660
22,  311.374268,    0.159679
24,  263.542511,    0.135150
26,  223.058487,    0.114389
28,  188.793350,    0.096817
30,  159.791901,    0.081945
32,  135.245499,    0.069357
34,  114.469757,    0.058702
36,   96.885506,    0.049685
38,   82.002441,    0.042053
40,   69.405655,    0.035593
42,   58.743900,    0.030125
44,   49.719967,    0.025497
46,   42.082233,    0.021581
48,   35.617775,    0.018266
50,   30.146364,    0.015460
52,   25.515429,    0.013085
54,   21.595877,    0.011075
56,   18.278425,    0.009374
58,   15.470592,    0.007934
60,   13.094077,    0.006715
