molecule,atom,element,mass_u,x_angstrom,y_angstrom,z_angstrom
water,O,O,15.999,0.000,0.000,0.000
water,H1,H,1.008,0.958,0.000,0.000
water,H2,H,1.008,-0.239,0.927,0.000
carbon_dioxide,C,C,12.011,0.000,0.000,0.000
carbon_dioxide,O1,O,15.999,1.160,0.000,0.000
carbon_dioxide,O2,O,15.999,-1.160,0.000,0.000
ammonia,N,N,14.007,0.000,0.000,0.000
ammonia,H1,H,1.008,0.940,0.000,-0.310
ammonia,H2,H,1.008,-0.470,0.814,-0.310
ammonia,H3,H,1.008,-0.470,-0.814,-0.310
methane,C,C,12.011,0.000,0.000,0.000
methane,H1,H,1.008,0.629,0.629,0.629
methane,H2,H,1.008,-0.629,-0.629,0.629
methane,H3,H,1.008,-0.629,0.629,-0.629
methane,H4,H,1.008,0.629,-0.629,-0.629
