cycle,remaining_mass_kg,recovered_this_cycle_kg,lost_this_cycle_kg
0, 1000.000000,  880.000000,  120.000000
1,  880.000000,  774.400024,  105.599976
2,  774.400024,  681.472046,   92.927979
3,  681.472046,  599.695374,   81.776672
4,  599.695374,  527.731934,   71.963440
5,  527.731934,  464.404114,   63.327820
6,  464.404114,  408.675629,   55.728485
7,  408.675629,  359.634552,   49.041077
8,  359.634552,  316.478394,   43.156158
9,  316.478394,  278.500977,   37.977417
10,  278.500977,  245.080856,   33.420120
