scenario,compound_id,potency_multiplier,clogP_shift,modeled_ic50_nM,modeled_clogP,modeled_pIC50,modeled_LLE,modeled_MPO_score
potency_lipophilicity_tradeoff,MEDADV006,0.1,-1.0,3.2,0.8999999999999999,8.494850021680094,7.594850021680093,0.9620680997261335
potency_lipophilicity_tradeoff,MEDADV006,0.1,-0.5,3.2,1.4,8.494850021680094,7.094850021680093,0.9620680997261335
potency_lipophilicity_tradeoff,MEDADV006,0.1,0.0,3.2,1.9,8.494850021680094,6.594850021680093,0.9507239003331761
potency_lipophilicity_tradeoff,MEDADV006,0.1,0.5,3.2,2.4,8.494850021680094,6.094850021680093,0.9367239003331761
potency_lipophilicity_tradeoff,MEDADV006,0.1,1.0,3.2,2.9,8.494850021680094,5.594850021680093,0.9227239003331761
potency_lipophilicity_tradeoff,MEDADV006,0.25,-1.0,8.0,0.8999999999999999,8.096910013008056,7.196910013008056,0.9520901454137525
potency_lipophilicity_tradeoff,MEDADV006,0.25,-0.5,8.0,1.4,8.096910013008056,6.696910013008056,0.9436036257779781
potency_lipophilicity_tradeoff,MEDADV006,0.25,0.0,8.0,1.9,8.096910013008056,6.196910013008056,0.9296036257779781
potency_lipophilicity_tradeoff,MEDADV006,0.25,0.5,8.0,2.4,8.096910013008056,5.696910013008056,0.915603625777978
potency_lipophilicity_tradeoff,MEDADV006,0.25,1.0,8.0,2.9,8.096910013008056,5.196910013008056,0.901603625777978
potency_lipophilicity_tradeoff,MEDADV006,0.5,-1.0,16.0,0.8999999999999999,7.795880017344075,6.895880017344075,0.9195118539535793
potency_lipophilicity_tradeoff,MEDADV006,0.5,-0.5,16.0,1.4,7.795880017344075,6.395880017344075,0.9055118539535792
potency_lipophilicity_tradeoff,MEDADV006,0.5,0.0,16.0,1.9,7.795880017344075,5.895880017344075,0.8915118539535792
potency_lipophilicity_tradeoff,MEDADV006,0.5,0.5,16.0,2.4,7.795880017344075,5.395880017344075,0.8775118539535792
potency_lipophilicity_tradeoff,MEDADV006,0.5,1.0,16.0,2.9,7.795880017344075,4.895880017344075,0.8635118539535792
potency_lipophilicity_tradeoff,MEDADV006,1.0,-1.0,32.0,0.8999999999999999,7.494850021680094,6.594850021680093,0.87495941459531
potency_lipophilicity_tradeoff,MEDADV006,1.0,-0.5,32.0,1.4,7.494850021680094,6.094850021680093,0.86095941459531
potency_lipophilicity_tradeoff,MEDADV006,1.0,0.0,32.0,1.9,7.494850021680094,5.594850021680093,0.84695941459531
potency_lipophilicity_tradeoff,MEDADV006,1.0,0.5,32.0,2.4,7.494850021680094,5.094850021680093,0.83295941459531
potency_lipophilicity_tradeoff,MEDADV006,1.0,1.0,32.0,2.9,7.494850021680094,4.594850021680093,0.81895941459531
potency_lipophilicity_tradeoff,MEDADV006,2.0,-1.0,64.0,0.8999999999999999,7.1938200260161125,6.293820026016112,0.8304069752370408
potency_lipophilicity_tradeoff,MEDADV006,2.0,-0.5,64.0,1.4,7.1938200260161125,5.793820026016112,0.8164069752370408
potency_lipophilicity_tradeoff,MEDADV006,2.0,0.0,64.0,1.9,7.1938200260161125,5.293820026016112,0.8024069752370407
potency_lipophilicity_tradeoff,MEDADV006,2.0,0.5,64.0,2.4,7.1938200260161125,4.793820026016112,0.7884069752370407
potency_lipophilicity_tradeoff,MEDADV006,2.0,1.0,64.0,2.9,7.1938200260161125,4.293820026016112,0.7744069752370407
