food_id,food_name,food_group,processing_level,food_matrix,energy_kcal,water_g,protein_g,total_carbohydrate_g,digestible_starch_g,total_sugars_g,fiber_g,total_fat_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,omega3_g,iron_mg,zinc_mg,calcium_mg,potassium_mg,vitamin_c_mg,folate_ug,polyphenol_mg,water_activity,pH,particle_accessibility,processing_intensity,fermentation_factor,retention_factor,iron_bioavailability_factor,protein_digestibility_factor,lipid_unsaturation_index,oxidation_protection_factor,sodium_mg,contaminant_flag_score,allergen_flag_score,sustainability_context_score,data_quality_score
FOOD001,lentils_cooked,legume,minimally_processed,cellular_fiber_starch_matrix,230,68,18,40,22,3,15,1.0,0.2,0.2,0.5,0.05,6.6,2.5,38,730,3,360,95,0.98,6.5,0.45,0.25,0.15,0.88,0.16,0.82,0.55,0.75,8,0.05,0.05,0.88,0.94
FOOD002,oats_cooked,whole_grain,minimally_processed,starch_beta_glucan_matrix,180,72,10,32,18,1,8,4.0,0.7,1.3,1.6,0.12,3.0,2.1,25,180,0,56,72,0.97,6.2,0.50,0.30,0.00,0.90,0.10,0.78,0.62,0.70,4,0.04,0.05,0.86,0.93
FOOD003,yogurt_plain,fermented_dairy,fermented,protein_gel_emulsion_matrix,150,78,12,11,0,10,0,5.0,3.0,1.4,0.2,0.02,0.1,1.5,380,520,1,28,18,0.99,4.3,0.75,0.35,0.85,0.92,0.05,0.92,0.25,0.65,115,0.03,0.30,0.62,0.95
FOOD004,walnuts,nut_seed,minimally_processed,lipid_cell_wall_matrix,330,4,15,14,2,2,7,32.0,3.0,4.2,22.0,2.50,1.4,2.0,65,320,1,48,180,0.45,6.4,0.35,0.20,0.00,0.86,0.08,0.74,4.20,0.88,1,0.04,0.45,0.80,0.92
FOOD005,orange_segments,fruit,minimally_processed,plant_cell_vitamin_matrix,80,82,1.5,19,2,14,4,0.2,0.0,0.0,0.1,0.01,0.2,0.1,60,240,70,40,120,0.99,3.8,0.70,0.15,0.00,0.82,0.08,0.70,0.12,0.72,0,0.03,0.05,0.82,0.94
FOOD006,white_bread,refined_grain,refined,gelatinized_starch_gluten_matrix,160,36,5,30,24,3,1,1.5,0.3,0.4,0.6,0.03,1.8,0.5,80,70,0,45,8,0.94,5.6,0.88,0.75,0.00,0.88,0.07,0.78,0.45,0.35,280,0.08,0.10,0.52,0.88
FOOD007,salmon_cooked,fish,minimally_processed,protein_lipid_muscle_matrix,280,58,30,0,0,0,0,16.0,3.1,5.2,5.8,2.20,0.8,0.9,20,610,0,8,12,0.97,6.2,0.72,0.40,0.00,0.88,0.12,0.93,3.10,0.62,75,0.12,0.20,0.60,0.90
FOOD008,spinach_cooked,leafy_green,minimally_processed,leaf_cell_mineral_matrix,45,88,5,7,0,1,4,0.5,0.1,0.0,0.2,0.05,6.4,1.4,245,840,18,260,210,0.99,6.1,0.62,0.35,0.00,0.72,0.07,0.70,0.18,0.70,120,0.10,0.05,0.90,0.89
FOOD009,dark_chocolate,cocoa_product,processed,polyphenol_lipid_sugar_matrix,250,2,4,28,4,18,5,16.0,9.5,5.0,0.8,0.02,4.0,1.8,35,250,0,20,360,0.40,5.5,0.55,0.65,0.00,0.84,0.06,0.62,1.10,0.82,12,0.09,0.10,0.58,0.88
FOOD010,kimchi,fermented_vegetable,fermented,vegetable_fiber_fermentation_matrix,35,90,2,7,0,2,3,0.5,0.1,0.1,0.2,0.02,1.2,0.4,55,260,12,40,85,0.98,4.0,0.68,0.45,0.90,0.80,0.09,0.72,0.20,0.76,620,0.06,0.05,0.84,0.90
