scenario,site,hour,modeled_dissolved_oxygen_mg_L,modeled_oxygen_deficit_mg_L,oxygen_stress_index
dissolved_oxygen_sag,Lake-B,0,4.6,3.9000000000000004,0.4
dissolved_oxygen_sag,Lake-B,6,5.522819972086273,2.9771800279137275,0.2461966713189545
dissolved_oxygen_sag,Lake-B,12,6.22728181574144,2.2727181842585598,0.15151454561723732
dissolved_oxygen_sag,Lake-B,18,6.765053541730529,1.7349464582694707,0.11566309721796475
dissolved_oxygen_sag,Lake-B,24,7.175577449984737,1.3244225500152627,0.0882948366676842
dissolved_oxygen_sag,Lake-B,30,7.488962983481023,1.0110370165189773,0.06740246776793182
dissolved_oxygen_sag,Lake-B,36,7.728195073573903,0.7718049264260974,0.051453661761739815
dissolved_oxygen_sag,Lake-B,42,7.910819945538154,0.5891800544618464,0.03927867029745643
dissolved_oxygen_sag,Lake-B,48,8.050232027951557,0.4497679720484438,0.02998453146989621
dissolved_oxygen_sag,Lake-B,54,8.156656352928747,0.34334364707125314,0.022889576471416838
dissolved_oxygen_sag,Lake-B,60,8.237898500314977,0.26210149968502416,0.0174734333123349
dissolved_oxygen_sag,Lake-B,66,8.299917089705515,0.20008291029448466,0.013338860686299015
dissolved_oxygen_sag,Lake-B,72,8.34726080911395,0.15273919088604962,0.0101826127257367
dissolved_oxygen_sag,Lake-B,78,8.383402033695987,0.11659796630401266,0.007773197753600887
dissolved_oxygen_sag,Lake-B,84,8.410991503442137,0.08900849655786264,0.005933899770524202
dissolved_oxygen_sag,Lake-B,90,8.432052738905975,0.06794726109402471,0.004529817406268322
dissolved_oxygen_sag,Lake-B,96,8.448130454184469,0.051869545815530695,0.003457969721035426
dissolved_oxygen_sag,Lake-B,102,8.460403852343857,0.039596147656142076,0.0026397431770761887
dissolved_oxygen_sag,Lake-B,108,8.469773112824567,0.030226887175433127,0.0020151258116955025
dissolved_oxygen_sag,Lake-B,114,8.47692541415264,0.023074585847359243,0.0015383057231572886
dissolved_oxygen_sag,Lake-B,120,8.48238533432381,0.017614665676189415,0.0011743110450793163
