peak_id,sample_id,retention_time_min,baseline_width_min,peak_area,detector,retention_factor_k
p1,unknown_mix,1.22,0.18,15200.0,FID,0.326086956521739
p2,unknown_mix,2.85,0.25,88400.0,FID,2.097826086956522
p3,unknown_mix,4.1,0.31,45100.0,FID,3.456521739130434
p4,unknown_mix,5.36,0.34,61700.0,FID,4.826086956521739
p5,unknown_mix,7.02,0.42,29300.0,FID,6.630434782608695
p6,qc_mix,1.21,0.17,15150.0,FID,0.3152173913043477
p7,qc_mix,2.88,0.24,87900.0,FID,2.1304347826086953
p8,qc_mix,4.06,0.3,45900.0,FID,3.413043478260869
p9,qc_mix,5.42,0.35,62500.0,FID,4.891304347826087
p10,qc_mix,7.0,0.4,29800.0,FID,6.608695652173913
