sample_id,date,station,region,environment,species,chemical_class,concentration,reference_concentration,unit,temperature_c,relative_humidity_percent,sunlight_index,nox_ppb,voc_ppb,oh_index,aod,single_scattering_albedo,lifetime_days,background_pressure_hPa,qc_score,reference_ratio,greenhouse_forcing_proxy_W_m2,lifetime_persistence_factor,photochemical_ozone_index,aerosol_direct_effect_proxy,aerosol_pressure_index,oxidizing_capacity_stress_index,atmospheric_chemistry_pressure_index,evidence_weighted_pressure_index,attention_flag
ATMADV001,2026-04-01,Global-CO2,global_background,troposphere,CO2,greenhouse_gas,423.0,280.0,ppm,15.0,55.0,1.0,0.0,0.0,1.0,0.04,0.96,36500.0,1013.0,0.95,1.5107142857142857,2.2073167809421017,0.9991787571858747,0.0,-0.9408,0.2761071428571429,0.0,0.6148137324696965,0.5840730458462117,moderate_attention
ATMADV002,2026-04-01,Global-CH4,global_background,troposphere,CH4,greenhouse_gas,1950.0,722.0,ppb,15.0,55.0,1.0,0.0,0.0,0.85,0.03,0.95,4380.0,1013.0,0.94,2.700831024930748,0.6223948792758153,0.9931972789115646,0.0,-0.6944999999999999,0.45824965373961224,0.3971810330780512,0.605107910559925,0.5688014359263295,moderate_attention
ATMADV003,2026-04-01,Global-N2O,global_background,troposphere,N2O,greenhouse_gas,337.0,270.0,ppb,15.0,55.0,1.0,0.0,0.0,1.0,0.03,0.95,43800.0,1013.0,0.93,1.2481481481481482,0.2311059630637004,0.999315537303217,0.0,-0.6944999999999999,0.24034722222222227,0.0,0.4354405566595795,0.40495971769340894,monitor
ATMADV004,2026-04-02,Urban-O3,urban_plume,boundary_layer,O3,secondary_pollutant,0.078,0.07,ppm,28.0,48.0,1.15,38.0,85.0,0.75,0.08,0.93,0.2,1005.0,0.9,1.114285714285714,0.0,0.006622516556291392,65.35805229656097,-1.7928000000000002,0.2581428571428571,0.2833333333333333,0.49328014796764136,0.44395213317087723,moderate_attention
ATMADV005,2026-04-02,Urban-NO2,urban_plume,boundary_layer,NO2,reactive_nitrogen,42.0,53.0,ppb,25.0,52.0,1.05,42.0,60.0,0.8,0.07,0.92,0.25,1007.0,0.88,0.7924528301886793,0.0,0.008264462809917356,52.70958167164676,-1.5428000000000004,0.21349292452830185,0.18749999999999997,0.27846288880549086,0.24504734214883195,monitor
ATMADV006,2026-04-02,Urban-CO,urban_plume,boundary_layer,CO,reactive_carbon,0.9,0.4,ppm,22.0,58.0,0.95,16.0,35.0,0.7,0.05,0.95,60.0,1009.0,0.89,2.25,0.0,0.6666666666666666,22.48110317577854,-1.1575,0.39937500000000004,0.9285714285714287,0.5955424687382412,0.5300327971770347,moderate_attention
ATMADV007,2026-04-03,Smoke-PM,wildfire_smoke,boundary_layer,PM2.5,aerosol,38.0,15.0,ug_m3,19.0,36.0,0.75,22.0,95.0,0.55,0.68,0.86,5.0,1001.0,0.84,2.533333333333333,0.0,0.14285714285714285,34.28738835198738,-13.477599999999999,0.7895,0.4318181818181818,0.6142875492927511,0.5160015414059109,moderate_attention
ATMADV008,2026-04-03,Industrial-SO2,industrial_plume,boundary_layer,SO2,sulfur_chemistry,18.0,75.0,ppb,17.0,62.0,0.8,14.0,25.0,0.65,0.18,0.9,2.0,1008.0,0.86,0.24,0.0,0.0625,14.966629547095767,-3.8339999999999996,0.19474999999999998,0.09615384615384615,0.13186135109378727,0.11340076194065705,monitor
ATMADV009,2026-04-04,Dust-AOD,mineral_dust,troposphere,coarse_aerosol,aerosol,120.0,100.0,ug_m3,29.0,24.0,1.1,5.0,10.0,0.9,0.82,0.91,7.0,1000.0,0.82,1.2,0.0,0.1891891891891892,7.778174593052023,-17.7694,0.602,0.02777777777777778,0.4376039528996318,0.358835241377698,monitor
ATMADV010,2026-04-04,Marine-DMS,marine_boundary_layer,boundary_layer,DMS,sulfur_chemistry,0.45,0.2,ppb,18.0,78.0,0.9,2.0,8.0,1.1,0.12,0.97,1.0,1015.0,0.91,2.25,0.0,0.03225806451612903,3.6,-2.8668,0.41400000000000003,0.01818181818181818,0.29553385039813507,0.2689358038623029,monitor
