scenario,species,concentration,reference_concentration,unit,forcing_proxy_W_m2
greenhouse_forcing,CO2,280,280.0,ppm,0.0
greenhouse_forcing,CO2,350,280.0,ppm,1.193817999531022
greenhouse_forcing,CO2,420,280.0,ppm,2.1692383283786794
greenhouse_forcing,CO2,500,280.0,ppm,3.1020289496032403
greenhouse_forcing,CO2,650,280.0,ppm,4.505677764504317
greenhouse_forcing,CO2,800,280.0,ppm,5.616548366067925
greenhouse_forcing,CH4,722,722.0,ppb,0.0
greenhouse_forcing,CH4,1000,722.0,ppb,0.1710978809974195
greenhouse_forcing,CH4,1500,722.0,ppb,0.426951927971473
greenhouse_forcing,CH4,1950,722.0,ppb,0.6223948792758153
greenhouse_forcing,CH4,2400,722.0,ppb,0.7963105381406911
greenhouse_forcing,CH4,3000,722.0,ppb,1.004479130355401
greenhouse_forcing,N2O,270,270.0,ppb,0.0
greenhouse_forcing,N2O,300,270.0,ppb,0.10665976206405503
greenhouse_forcing,N2O,337,270.0,ppb,0.2311059630637004
greenhouse_forcing,N2O,380,270.0,ppb,0.3674294357355532
greenhouse_forcing,N2O,430,270.0,ppb,0.5165717553807285
greenhouse_forcing,N2O,500,270.0,ppb,0.7114803659811498
