batch_id,route_id,yield_fraction,impurity_percent,energy_kWh_kg,solvent_intensity,temperature_deviation_C
B001,ind_B,0.91,0.42,1.72,0.38,1.2
B002,ind_B,0.90,0.45,1.80,0.39,1.5
B003,ind_B,0.92,0.39,1.69,0.37,0.8
B004,ind_B,0.89,0.51,1.85,0.41,2.2
B005,ind_B,0.91,0.44,1.76,0.39,1.4
B006,ind_B,0.90,0.47,1.78,0.40,1.8
B007,ind_D,0.88,0.62,1.55,0.68,2.4
B008,ind_D,0.87,0.70,1.61,0.70,2.6
B009,ind_D,0.89,0.58,1.58,0.66,2.1
B010,ind_D,0.86,0.76,1.66,0.73,3.0
B011,ind_D,0.88,0.65,1.60,0.69,2.5
B012,ind_D,0.87,0.69,1.63,0.71,2.7
