scenario,food_name,particle_accessibility,fiber_g,food_matrix_protection_index,glycemic_accessibility_proxy
glycemic_matrix,oats_cooked,0.25,1,0.39416666666666667,0.20654166666666668
glycemic_matrix,oats_cooked,0.25,4,0.4816666666666666,0.16841666666666671
glycemic_matrix,oats_cooked,0.25,8,0.5983333333333333,0.11758333333333339
glycemic_matrix,oats_cooked,0.25,12,0.715,0.06675000000000002
glycemic_matrix,oats_cooked,0.25,16,0.715,0.06675000000000002
glycemic_matrix,oats_cooked,0.5,1,0.31916666666666665,0.26779166666666665
glycemic_matrix,oats_cooked,0.5,4,0.4066666666666666,0.22966666666666669
glycemic_matrix,oats_cooked,0.5,8,0.5233333333333333,0.17883333333333334
glycemic_matrix,oats_cooked,0.5,12,0.64,0.128
glycemic_matrix,oats_cooked,0.5,16,0.64,0.128
glycemic_matrix,oats_cooked,0.75,1,0.24416666666666664,0.3290416666666667
glycemic_matrix,oats_cooked,0.75,4,0.33166666666666667,0.2909166666666667
glycemic_matrix,oats_cooked,0.75,8,0.44833333333333325,0.24008333333333343
glycemic_matrix,oats_cooked,0.75,12,0.565,0.18925000000000003
glycemic_matrix,oats_cooked,0.75,16,0.565,0.18925000000000003
glycemic_matrix,oats_cooked,0.95,1,0.18416666666666665,0.3780416666666666
glycemic_matrix,oats_cooked,0.95,4,0.2716666666666666,0.33991666666666664
glycemic_matrix,oats_cooked,0.95,8,0.3883333333333333,0.28908333333333336
glycemic_matrix,oats_cooked,0.95,12,0.505,0.23824999999999996
glycemic_matrix,oats_cooked,0.95,16,0.505,0.23824999999999996
