food_id,food_name,food_group,processing_level,food_matrix,energy_kcal,water_g,protein_g,total_carbohydrate_g,digestible_starch_g,total_sugars_g,fiber_g,total_fat_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,omega3_g,iron_mg,zinc_mg,calcium_mg,potassium_mg,vitamin_c_mg,folate_ug,polyphenol_mg,water_activity,pH,particle_accessibility,processing_intensity,fermentation_factor,retention_factor,iron_bioavailability_factor,protein_digestibility_factor,lipid_unsaturation_index,oxidation_protection_factor,sodium_mg,contaminant_flag_score,allergen_flag_score,sustainability_context_score,data_quality_score,energy_density_kcal_per_g,nutrient_density_score,bioavailable_iron_mg,retained_vitamin_c_mg,digestible_protein_g,protein_quality_proxy,food_matrix_protection_index,glycemic_accessibility_proxy,lipid_oxidation_vulnerability,sodium_pressure_index,chemical_safety_attention_index,nutrition_chemistry_quality_index,profile_flag
FOOD001,lentils_cooked,legume,minimally_processed,cellular_fiber_starch_matrix,230.0,68.0,18.0,40.0,22.0,3.0,15.0,1.0,0.2,0.2,0.5,0.05,6.6,2.5,38.0,730.0,3.0,360.0,95.0,0.98,6.5,0.45,0.25,0.15,0.88,0.16,0.82,0.55,0.75,8.0,0.05,0.05,0.88,0.94,1.811023622047244,0.3099347826086957,0.92928,2.64,14.76,0.484128,0.670625,0.16523958333333338,0.058111111111111065,0.013333333333333334,0.18343333333333336,0.45448075256038645,moderate_food_chemistry_profile
FOOD002,oats_cooked,whole_grain,minimally_processed,starch_beta_glucan_matrix,180.0,72.0,10.0,32.0,18.0,1.0,8.0,4.0,0.7,1.3,1.6,0.12,3.0,2.1,25.0,180.0,0.0,56.0,72.0,0.97,6.2,0.5,0.3,0.0,0.9,0.1,0.78,0.62,0.7,4.0,0.04,0.05,0.86,0.93,1.5254237288135593,0.20675925925925928,0.27,0.0,7.800000000000001,0.24336000000000005,0.5233333333333333,0.17883333333333334,0.0897222222222222,0.006666666666666667,0.1693,0.35073746666666666,limited_profile_or_context_needed
FOOD003,yogurt_plain,fermented_dairy,fermented,protein_gel_emulsion_matrix,150.0,78.0,12.0,11.0,0.0,10.0,0.0,5.0,3.0,1.4,0.2,0.02,0.1,1.5,380.0,520.0,1.0,28.0,18.0,0.99,4.3,0.75,0.35,0.85,0.92,0.05,0.92,0.25,0.65,115.0,0.03,0.3,0.62,0.95,1.4150943396226414,0.2369111111111111,0.004600000000000001,0.92,11.040000000000001,0.4062720000000001,0.236875,0.27696875,0.10194444444444442,0.19166666666666668,0.1635666666666667,0.3081039044444444,limited_profile_or_context_needed
FOOD004,walnuts,nut_seed,minimally_processed,lipid_cell_wall_matrix,330.0,4.0,15.0,14.0,2.0,2.0,7.0,32.0,3.0,4.2,22.0,2.5,1.4,2.0,65.0,320.0,1.0,48.0,180.0,0.45,6.4,0.35,0.2,0.0,0.86,0.08,0.74,4.2,0.88,1.0,0.04,0.45,0.8,0.92,5.076923076923077,0.12316161616161618,0.09632,0.86,11.1,0.32856,0.5591666666666667,0.0,0.19816666666666666,0.0016666666666666668,0.1336,0.3470146181818183,limited_profile_or_context_needed
FOOD005,orange_segments,fruit,minimally_processed,plant_cell_vitamin_matrix,80.0,82.0,1.5,19.0,2.0,14.0,4.0,0.2,0.0,0.0,0.1,0.01,0.2,0.1,60.0,240.0,70.0,40.0,120.0,0.99,3.8,0.7,0.15,0.0,0.82,0.08,0.7,0.12,0.72,0.0,0.03,0.05,0.82,0.94,0.7789678675754624,0.272125,0.013120000000000001,57.4,1.0499999999999998,0.029399999999999996,0.3766666666666667,0.24533333333333335,0.0038333333333333275,0.0,0.06776666666666668,0.3142415,limited_profile_or_context_needed
FOOD006,white_bread,refined_grain,refined,gelatinized_starch_gluten_matrix,160.0,36.0,5.0,30.0,24.0,3.0,1.0,1.5,0.3,0.4,0.6,0.03,1.8,0.5,80.0,70.0,0.0,45.0,8.0,0.94,5.6,0.88,0.75,0.0,0.88,0.07,0.78,0.45,0.35,280.0,0.08,0.1,0.52,0.88,2.206896551724138,0.09182291666666668,0.11088000000000002,0.0,3.9000000000000004,0.12168000000000002,0.11516666666666667,0.5198916666666668,0.25333333333333335,0.4666666666666667,0.24779999999999996,0.13659394166666666,limited_profile_or_context_needed
FOOD007,salmon_cooked,fish,minimally_processed,protein_lipid_muscle_matrix,280.0,58.0,30.0,0.0,0.0,0.0,0.0,16.0,3.1,5.2,5.8,2.2,0.8,0.9,20.0,610.0,0.0,8.0,12.0,0.97,6.2,0.72,0.4,0.0,0.88,0.12,0.93,3.1,0.62,75.0,0.12,0.2,0.6,0.9,2.6923076923076925,0.13211309523809525,0.08448,0.0,27.900000000000002,1.0,0.20400000000000001,0.1734,0.3386111111111111,0.125,0.2541,0.35298503968253975,limited_profile_or_context_needed
FOOD008,spinach_cooked,leafy_green,minimally_processed,leaf_cell_mineral_matrix,45.0,88.0,5.0,7.0,0.0,1.0,4.0,0.5,0.1,0.0,0.2,0.05,6.4,1.4,245.0,840.0,18.0,260.0,210.0,0.99,6.1,0.62,0.35,0.0,0.72,0.07,0.7,0.18,0.7,120.0,0.1,0.05,0.9,0.89,0.44776119402985076,1.0386,0.32256,12.959999999999999,3.5,0.098,0.36066666666666664,0.10006666666666668,0.022500000000000006,0.2,0.2483666666666667,0.542672,moderate_food_chemistry_profile
FOOD009,dark_chocolate,cocoa_product,processed,polyphenol_lipid_sugar_matrix,250.0,2.0,4.0,28.0,4.0,18.0,5.0,16.0,9.5,5.0,0.8,0.02,4.0,1.8,35.0,250.0,0.0,20.0,360.0,0.4,5.5,0.55,0.65,0.0,0.84,0.06,0.62,1.1,0.82,12.0,0.09,0.1,0.58,0.88,5.0,0.11511333333333336,0.20159999999999997,0.0,2.48,0.061503999999999996,0.35083333333333333,0.34854166666666675,0.011555555555555541,0.02,0.0682,0.2250742755555556,limited_profile_or_context_needed
FOOD010,kimchi,fermented_vegetable,fermented,vegetable_fiber_fermentation_matrix,35.0,90.0,2.0,7.0,0.0,2.0,3.0,0.5,0.1,0.1,0.2,0.02,1.2,0.4,55.0,260.0,12.0,40.0,85.0,0.98,4.0,0.68,0.45,0.9,0.8,0.09,0.72,0.2,0.76,620.0,0.06,0.05,0.84,0.9,0.35175879396984927,0.3549333333333333,0.08639999999999999,9.600000000000001,1.44,0.041471999999999995,0.32725,0.1514125,0.07222222222222217,1.0,0.2581333333333333,0.31856351555555557,limited_profile_or_context_needed
