scenario,food_name,processing_intensity,retention_factor,retained_vitamin_c_mg,bioavailable_iron_mg,nutrition_chemistry_quality_index
processing_retention,orange_segments,0.0,0.5,35.0,0.008,0.3215081666666666
processing_retention,orange_segments,0.0,0.65,45.5,0.010400000000000001,0.3215081666666666
processing_retention,orange_segments,0.0,0.8,56.0,0.012800000000000002,0.3215081666666666
processing_retention,orange_segments,0.0,0.95,66.5,0.0152,0.3215081666666666
processing_retention,orange_segments,0.15,0.5,35.0,0.008,0.3142415
processing_retention,orange_segments,0.15,0.65,45.5,0.010400000000000001,0.3142415
processing_retention,orange_segments,0.15,0.8,56.0,0.012800000000000002,0.3142415
processing_retention,orange_segments,0.15,0.95,66.5,0.0152,0.3142415
processing_retention,orange_segments,0.3,0.5,35.0,0.008,0.30488149999999997
processing_retention,orange_segments,0.3,0.65,45.5,0.010400000000000001,0.30488149999999997
processing_retention,orange_segments,0.3,0.8,56.0,0.012800000000000002,0.30488149999999997
processing_retention,orange_segments,0.3,0.95,66.5,0.0152,0.30488149999999997
processing_retention,orange_segments,0.5,0.5,35.0,0.008,0.2924015
processing_retention,orange_segments,0.5,0.65,45.5,0.010400000000000001,0.2924015
processing_retention,orange_segments,0.5,0.8,56.0,0.012800000000000002,0.2924015
processing_retention,orange_segments,0.5,0.95,66.5,0.0152,0.2924015
processing_retention,orange_segments,0.75,0.5,35.0,0.008,0.27680150000000003
processing_retention,orange_segments,0.75,0.65,45.5,0.010400000000000001,0.27680150000000003
processing_retention,orange_segments,0.75,0.8,56.0,0.012800000000000002,0.27680150000000003
processing_retention,orange_segments,0.75,0.95,66.5,0.0152,0.27680150000000003
processing_retention,orange_segments,0.9,0.5,35.0,0.008,0.2674415
processing_retention,orange_segments,0.9,0.65,45.5,0.010400000000000001,0.2674415
processing_retention,orange_segments,0.9,0.8,56.0,0.012800000000000002,0.2674415
processing_retention,orange_segments,0.9,0.95,66.5,0.0152,0.2674415
