frequency_GHz,intensity_K,center_GHz,fwhm_km_s
115.254,0.0,115.269,1.4
115.25410000000001,0.0,115.269,1.4
115.25420000000001,0.0,115.269,1.4
115.2543,0.0,115.269,1.4
115.2544,0.0,115.269,1.4
115.25450000000001,0.0,115.269,1.4
115.25460000000001,0.0,115.269,1.4
115.2547,0.0,115.269,1.4
115.2548,0.0,115.269,1.4
115.2549,0.0,115.269,1.4
115.25500000000001,0.0,115.269,1.4
115.2551,0.0,115.269,1.4
115.2552,0.0,115.269,1.4
115.2553,0.0,115.269,1.4
115.25540000000001,0.0,115.269,1.4
115.2555,0.0,115.269,1.4
115.2556,0.0,115.269,1.4
115.2557,0.0,115.269,1.4
115.25580000000001,0.0,115.269,1.4
115.25590000000001,0.0,115.269,1.4
115.256,0.0,115.269,1.4
115.2561,0.0,115.269,1.4
115.2562,0.0,115.269,1.4
115.25630000000001,0.0,115.269,1.4
115.2564,0.0,115.269,1.4
115.2565,0.0,115.269,1.4
115.2566,0.0,115.269,1.4
115.25670000000001,0.0,115.269,1.4
115.2568,0.0,115.269,1.4
115.2569,0.0,115.269,1.4
115.257,0.0,115.269,1.4
115.25710000000001,0.0,115.269,1.4
115.25720000000001,0.0,115.269,1.4
115.2573,0.0,115.269,1.4
115.2574,0.0,115.269,1.4
115.25750000000001,0.0,115.269,1.4
115.25760000000001,0.0,115.269,1.4
115.2577,0.0,115.269,1.4
115.2578,0.0,115.269,1.4
115.2579,0.0,115.269,1.4
115.25800000000001,0.0,115.269,1.4
115.2581,0.0,115.269,1.4
115.2582,0.0,115.269,1.4
115.2583,0.0,115.269,1.4
115.25840000000001,0.0,115.269,1.4
115.2585,0.0,115.269,1.4
115.2586,0.0,115.269,1.4
115.2587,0.0,115.269,1.4
115.25880000000001,0.0,115.269,1.4
115.25890000000001,0.0,115.269,1.4
115.259,0.0,115.269,1.4
115.2591,0.0,115.269,1.4
115.2592,0.0,115.269,1.4
115.25930000000001,0.0,115.269,1.4
115.2594,0.0,115.269,1.4
115.2595,0.0,115.269,1.4
115.2596,0.0,115.269,1.4
115.25970000000001,0.0,115.269,1.4
115.2598,0.0,115.269,1.4
115.2599,0.0,115.269,1.4
115.26,0.0,115.269,1.4
115.26010000000001,0.0,115.269,1.4
115.26020000000001,6.6e-322,115.269,1.4
115.2603,1.257397548e-314,115.269,1.4
115.2604,1.9424509115941877e-307,115.269,1.4
115.26050000000001,2.4781014730266374e-300,115.269,1.4
115.26060000000001,2.6108367041724425e-293,115.269,1.4
115.2607,2.271600326965689e-286,115.269,1.4
115.2608,1.6322088440665756e-279,115.269,1.4
115.2609,9.685256373557872e-273,115.269,1.4
115.26100000000001,4.746113347600954e-266,115.269,1.4
115.2611,1.9206873672281343e-259,115.269,1.4
115.2612,6.418992158712547e-253,115.269,1.4
115.2613,1.7716119482719902e-246,115.269,1.4
115.26140000000001,4.0379593848785743e-240,115.269,1.4
115.2615,7.600582570804436e-234,115.269,1.4
115.2616,1.1814719293535981e-227,115.269,1.4
115.2617,1.5166714937064993e-221,115.269,1.4
115.26180000000001,1.6078711060765424e-215,115.269,1.4
115.26190000000001,1.4076754218612817e-209,115.269,1.4
115.262,1.0177600844249975e-203,115.269,1.4
115.2621,6.076869244192784e-198,115.269,1.4
115.2622,2.99644257750204e-192,115.269,1.4
115.26230000000001,1.2201792000864267e-186,115.269,1.4
115.2624,4.1032961707776024e-181,115.269,1.4
115.2625,1.1395508343193511e-175,115.269,1.4
115.2626,2.6135218311331016e-170,115.269,1.4
115.26270000000001,4.950056444914615e-165,115.269,1.4
115.2628,7.742581039300587e-160,115.269,1.4
115.2629,1.0001219504784566e-154,115.269,1.4
115.263,1.0668706039460123e-149,115.269,1.4
115.26310000000001,9.398577543643975e-145,115.269,1.4
115.26320000000001,6.837606427628478e-140,115.269,1.4
115.2633,4.108068333574225e-135,115.269,1.4
115.2634,2.038275150332685e-130,115.269,1.4
115.26350000000001,8.351789712580679e-126,115.269,1.4
115.26360000000001,2.826102323254545e-121,115.269,1.4
115.2637,7.897466692790872e-117,115.269,1.4
115.2638,1.8225494255299013e-112,115.269,1.4
115.2639,3.473460918242739e-108,115.269,1.4
115.26400000000001,5.466849385629345e-104,115.269,1.4
115.2641,7.105643114376829e-100,115.269,1.4
115.2642,7.627132019760996e-96,115.269,1.4
115.2643,6.760996744012761e-92,115.269,1.4
115.26440000000001,4.9493911800941014e-88,115.269,1.4
115.2645,2.9921573143290715e-84,115.269,1.4
115.2646,1.493855728618278e-80,115.269,1.4
115.2647,6.159202471593489e-77,115.269,1.4
115.26480000000001,2.0971615913297693e-73,115.269,1.4
115.26490000000001,5.896996903414073e-70,115.269,1.4
115.265,1.369372159483395e-66,115.269,1.4
115.2651,2.6260541618779906e-63,115.269,1.4
115.26520000000001,4.1588901980661013e-60,115.269,1.4
115.26530000000001,5.43929758669764e-57,115.269,1.4
115.2654,5.874890485754538e-54,115.269,1.4
115.2655,5.24020553311454e-51,115.269,1.4
115.2656,3.8600102478347596e-48,115.269,1.4
115.26570000000001,2.3481194408774533e-45,115.269,1.4
115.2658,1.1796237304455036e-42,115.269,1.4
115.2659,4.893937376054335e-40,115.269,1.4
115.266,1.6767368346069578e-37,115.269,1.4
115.26610000000001,4.744200037345874e-35,115.269,1.4
115.26620000000001,1.1085433229027678e-32,115.269,1.4
115.2663,2.1391140397689936e-30,115.269,1.4
115.2664,3.408841406279484e-28,115.269,1.4
115.26650000000001,4.4861237045909503e-26,115.269,1.4
115.26660000000001,4.875591192887715e-24,115.269,1.4
115.2667,4.375975810889033e-22,115.269,1.4
115.2668,3.243501715845915e-20,115.269,1.4
115.2669,1.9853859381895115e-18,115.269,1.4
115.26700000000001,1.0036154570585237e-16,115.269,1.4
115.2671,4.1896846080166394e-15,115.269,1.4
115.2672,1.444398110483761e-13,115.269,1.4
115.2673,4.112293300514021e-12,115.269,1.4
115.26740000000001,9.668805925402114e-11,115.269,1.4
115.2675,1.877384353160792e-09,115.269,1.4
115.2676,3.010406446541377e-08,115.269,1.4
115.2677,3.9864715305464144e-07,115.269,1.4
115.26780000000001,4.359571339178092e-06,115.269,1.4
115.26790000000001,3.937227418811405e-05,115.269,1.4
115.268,0.0002936491872077729,115.269,1.4
115.2681,0.0018086673371634136,115.269,1.4
115.26820000000001,0.009199837971266925,115.269,1.4
115.26830000000001,0.03864499466416795,115.269,1.4
115.2684,0.13405959867898454,115.269,1.4
115.2685,0.3840556588382872,115.269,1.4
115.2686,0.908619415080065,115.269,1.4
115.26870000000001,1.7752578697280004,115.269,1.4
115.2688,2.8643921239121726,115.269,1.4
115.2689,3.81676205116721,115.269,1.4
115.269,4.2,115.269,1.4
115.26910000000001,3.81676205116721,115.269,1.4
115.2692,2.864392124067964,115.269,1.4
115.2693,1.7752578697280004,115.269,1.4
115.2694,0.908619415080065,115.269,1.4
115.26950000000001,0.3840556588382872,115.269,1.4
115.26960000000001,0.13405959867898454,115.269,1.4
115.2697,0.03864499466416795,115.269,1.4
115.2698,0.009199837971266925,115.269,1.4
115.2699,0.0018086673371634136,115.269,1.4
115.27000000000001,0.0002936491872077729,115.269,1.4
115.2701,3.937227418811405e-05,115.269,1.4
115.2702,4.359571339178092e-06,115.269,1.4
115.2703,3.9864715305464144e-07,115.269,1.4
115.27040000000001,3.010406446541377e-08,115.269,1.4
115.2705,1.8773843539266062e-09,115.269,1.4
115.2706,9.668805925402114e-11,115.269,1.4
115.2707,4.112293300514021e-12,115.269,1.4
115.27080000000001,1.444398110483761e-13,115.269,1.4
