time_years,CO_fraction,H3plus_fraction,HCOplus_fraction,electron_fraction
0.0,0.0001,1e-08,1e-10,1e-07
1000.0,9.99999464151952e-05,9.94635208e-09,1.535848048e-10,1e-07
2000.0,9.999989315204908e-05,9.892991998524944e-09,2.0684795091833742e-10,1e-07
3000.0,9.999984020881396e-05,9.839918210903509e-09,2.597911860418549e-10,1e-07
4000.0,9.999978758375154e-05,9.787129180757352e-09,3.124162484613595e-10,1e-07
5000.0,9.999973527513288e-05,9.734623379956548e-09,3.6472486712211503e-10,1e-07
6000.0,9.999968328123833e-05,9.682399288575268e-09,4.1671876167406254e-10,1e-07
7000.0,9.999963160035748e-05,9.630455394847691e-09,4.683996425217707e-10,1e-07
8000.0,9.999958023078913e-05,9.578790195124168e-09,5.197692108741173e-10,1e-07
9000.0,9.999952917084121e-05,9.5274021938276e-09,5.708291587937032e-10,1e-07
10000.0,9.999947841883076e-05,9.476289903410072e-09,6.21581169246001e-10,1e-07
11000.0,9.999942797308385e-05,9.425451844309703e-09,6.720269161482381e-10,1e-07
12000.0,9.999937783193558e-05,9.374886544907743e-09,7.221680644180178e-10,1e-07
13000.0,9.999932799372998e-05,9.324592541485889e-09,7.720062700216785e-10,1e-07
14000.0,9.999927845681998e-05,9.274568378183838e-09,8.215431800223919e-10,1e-07
15000.0,9.999922921956737e-05,9.224812606957068e-09,8.707804326280037e-10,1e-07
16000.0,9.999918028034277e-05,9.175323787534843e-09,9.197196572386155e-10,1e-07
17000.0,9.999913163752551e-05,9.126100487378442e-09,9.683624744939118e-10,1e-07
18000.0,9.999908328950369e-05,9.07714128163962e-09,1.0167104963202317e-09,1e-07
19000.0,9.999903523467403e-05,9.028444753119292e-09,1.0647653259773875e-09,1e-07
20000.0,9.99989874714419e-05,8.980009492226426e-09,1.1125285581052316e-09,1e-07
21000.0,9.999893999822123e-05,8.93183409693718e-09,1.1600017787699725e-09,1e-07
22000.0,9.999889281343448e-05,8.883917172754238e-09,1.2071865655102413e-09,1e-07
23000.0,9.999884591551262e-05,8.836257332666373e-09,1.2540844873829118e-09,1e-07
24000.0,9.999879930289499e-05,8.788853197108233e-09,1.3006971050086723e-09,1e-07
25000.0,9.999875297402939e-05,8.741703393920331e-09,1.3470259706173531e-09,1e-07
26000.0,9.99987069273719e-05,8.694806558309267e-09,1.3930726280930103e-09,1e-07
27000.0,9.999866116138698e-05,8.648161332808145e-09,1.4388386130187667e-09,1e-07
28000.0,9.999861567454727e-05,8.601766367237215e-09,1.4843254527214112e-09,1e-07
29000.0,9.999857046533368e-05,8.555620318664732e-09,1.5295346663157592e-09,1e-07
30000.0,9.999852553223524e-05,8.509721851368002e-09,1.5744677647487736e-09,1e-07
31000.0,9.999848087374915e-05,8.46406963679467e-09,1.6191262508434482e-09,1e-07
32000.0,9.999843648838065e-05,8.418662353524191e-09,1.6635116193424559e-09,1e-07
33000.0,9.999839237464304e-05,8.373498687229514e-09,1.7076253569515613e-09,1e-07
34000.0,9.999834853105761e-05,8.328577330638984e-09,1.7514689423828009e-09,1e-07
35000.0,9.999830495615359e-05,8.283896983498434e-09,1.795043846397429e-09,1e-07
36000.0,9.999826164846814e-05,8.239456352533486e-09,1.8383515318486347e-09,1e-07
37000.0,9.999821860654626e-05,8.195254151412064e-09,1.8813934537240285e-09,1e-07
38000.0,9.99981758289408e-05,8.15128910070709e-09,1.9241710591878986e-09,1e-07
39000.0,9.999813331421237e-05,8.107559927859396e-09,1.9666857876232434e-09,1e-07
40000.0,9.999809106092932e-05,8.064065367140835e-09,2.0089390706735745e-09,1e-07
41000.0,9.999804906766771e-05,8.020804159617578e-09,2.0509323322844974e-09,1e-07
42000.0,9.999800733301125e-05,7.977775053113624e-09,2.0926669887450657e-09,1e-07
43000.0,9.999796585555126e-05,7.934976802174493e-09,2.1341444487289162e-09,1e-07
44000.0,9.999792463388665e-05,7.892408168031124e-09,2.175366113335181e-09,1e-07
45000.0,9.999788366662385e-05,7.850067918563962e-09,2.2163333761291786e-09,1e-07
46000.0,9.99978429523768e-05,7.807954828267241e-09,2.2570476231828888e-09,1e-07
47000.0,9.999780248976687e-05,7.766067678213457e-09,2.2975102331152067e-09,1e-07
48000.0,9.999776227742285e-05,7.72440525601803e-09,2.3377225771319832e-09,1e-07
49000.0,9.999772231398091e-05,7.682966355804163e-09,2.3776860190658483e-09,1e-07
50000.0,9.999768259808455e-05,7.641749778167884e-09,2.4174019154158207e-09,1e-07
51000.0,9.999764312838458e-05,7.600754330143281e-09,2.4568716153867047e-09,1e-07
52000.0,9.999760390353904e-05,7.559978825167917e-09,2.4960964609282745e-09,1e-07
53000.0,9.99975649222132e-05,7.519422083048435e-09,2.535077786774249e-09,1e-07
54000.0,9.999752618307949e-05,7.479082929926351e-09,2.573816920481055e-09,1e-07
55000.0,9.99974876848175e-05,7.438960198244026e-09,2.612315182466385e-09,1e-07
56000.0,9.999744942611392e-05,7.399052726710823e-09,2.6505738860475433e-09,1e-07
57000.0,9.999741140566248e-05,7.3593593602694485e-09,2.688594337479591e-09,1e-07
58000.0,9.999737362216397e-05,7.3198789500624685e-09,2.726377835993282e-09,1e-07
59000.0,9.999733607432612e-05,7.2806103533990115e-09,2.763925673832796e-09,1e-07
60000.0,9.999729876086366e-05,7.241552433721647e-09,2.801239136293269e-09,1e-07
61000.0,9.999726168049819e-05,7.202704060573444e-09,2.8383195017581228e-09,1e-07
62000.0,9.999722483195821e-05,7.1640641095652e-09,2.8751680417361926e-09,1e-07
63000.0,9.999718821397905e-05,7.125631462342861e-09,2.911786020898654e-09,1e-07
64000.0,9.999715182530284e-05,7.0874050065550996e-09,2.9481746971157536e-09,1e-07
65000.0,9.999711566467846e-05,7.049383635821078e-09,2.9843353214933413e-09,1e-07
66000.0,9.999707973086155e-05,7.011566249698382e-09,3.020269138409206e-09,1e-07
67000.0,9.999704402261441e-05,6.9739517536511285e-09,3.0559773855492143e-09,1e-07
68000.0,9.999700853870601e-05,6.936539059018239e-09,3.0914612939432595e-09,1e-07
69000.0,9.999697327791195e-05,6.899327082981892e-09,3.126722088001012e-09,1e-07
70000.0,9.99969382390144e-05,6.8623147485361376e-09,3.1617609855474804e-09,1e-07
71000.0,9.99969034208021e-05,6.825500984455686e-09,3.1965791978583813e-09,1e-07
72000.0,9.999686882207026e-05,6.788884725264863e-09,3.2311779296953176e-09,1e-07
73000.0,9.999683444162061e-05,6.752464911206728e-09,3.2655583793407696e-09,1e-07
74000.0,9.999680027826133e-05,6.716240488212364e-09,3.299721738632896e-09,1e-07
75000.0,9.999676633080695e-05,6.680210407870328e-09,3.3336691930001494e-09,1e-07
76000.0,9.999673259807846e-05,6.644373627396273e-09,3.367401921495704e-09,1e-07
77000.0,9.999669907890312e-05,6.608729109602721e-09,3.4009210968317004e-09,1e-07
78000.0,9.999666577211453e-05,6.57327582286901e-09,3.4342278854133037e-09,1e-07
79000.0,9.999663267655257e-05,6.538012741111398e-09,3.467323447372582e-09,1e-07
80000.0,9.999659979106334e-05,6.502938843753326e-09,3.5002089366021973e-09,1e-07
81000.0,9.999656711449916e-05,6.468053115695846e-09,3.5328855007889227e-09,1e-07
82000.0,9.99965346457185e-05,6.433354547288203e-09,3.5653542814469725e-09,1e-07
83000.0,9.9996502383586e-05,6.398842134298575e-09,3.5976164139511566e-09,1e-07
84000.0,9.999647032697238e-05,6.364514877884977e-09,3.6296730275698567e-09,1e-07
85000.0,9.999643847475445e-05,6.330371784566313e-09,3.6615252454978234e-09,1e-07
86000.0,9.999640682581506e-05,6.29641186619359e-09,3.6931741848888e-09,1e-07
87000.0,9.999637537904306e-05,6.262634139921282e-09,3.724620956887967e-09,1e-07
88000.0,9.999634413333328e-05,6.229037628178851e-09,3.755866666664216e-09,1e-07
89000.0,9.999631308758649e-05,6.195621358642421e-09,3.786912413442248e-09,1e-07
90000.0,9.99962822407094e-05,6.162384364206602e-09,3.817759290534498e-09,1e-07
91000.0,9.999625159161456e-05,6.12932568295647e-09,3.848408385372891e-09,1e-07
92000.0,9.999622113922039e-05,6.096444358139689e-09,3.878860779540427e-09,1e-07
93000.0,9.999619088245113e-05,6.063739438138794e-09,3.909117548802593e-09,1e-07
94000.0,9.999616082023679e-05,6.031209976443617e-09,3.9391797631386084e-09,1e-07
95000.0,9.999613095151315e-05,5.9988550316238566e-09,3.969048486772504e-09,1e-07
96000.0,9.999610127522173e-05,5.966673667301806e-09,3.998724778204031e-09,1e-07
97000.0,9.99960717903097e-05,5.9346649521252195e-09,4.028209690239404e-09,1e-07
98000.0,9.999604249572991e-05,5.902827959740327e-09,4.0575042700218825e-09,1e-07
99000.0,9.999601339044088e-05,5.871161768764993e-09,4.086609559062184e-09,1e-07
100000.0,9.999598447340667e-05,5.839665462762022e-09,4.115526593268734e-09,1e-07
