compound_id,project,scaffold_id,target,target_class,therapeutic_area,assay_type,ic50_nM,off_target_ic50_nM,hERG_ic50_uM,cyp3a4_ic50_uM,solubility_uM,permeability_10_6_cm_s,microsomal_half_life_min,plasma_protein_binding_percent,clearance_mL_min_kg,vd_L_kg,molecular_weight,clogP,tpsa,hbd,hba,rotatable_bonds,fsp3,aromatic_rings,formal_charge,synthetic_accessibility_score,alert_count,assay_qc_score
MEDADV001,Kinase-A,SCAF-01,Kinase-A,kinase,oncology,biochemical,18,2100,18,22,45,18,42,92,18,2.1,438,3.2,78,1,7,5,0.32,3,0,3.1,0,0.94
MEDADV002,Kinase-A,SCAF-01,Kinase-A,kinase,oncology,cellular,42,980,9,14,28,12,35,96,24,2.8,465,4.1,92,1,8,6,0.28,4,0,3.6,1,0.90
MEDADV003,GPCR-B,SCAF-02,GPCR-B,gpcr,neuroscience,binding,7,320,4,18,65,22,58,88,12,4.2,392,2.8,62,1,6,4,0.46,2,1,2.9,0,0.92
MEDADV004,Protease-C,SCAF-03,Protease-C,protease,infectious_disease,biochemical,85,7400,35,45,110,8,25,84,32,1.4,510,3.6,118,3,9,9,0.38,2,0,4.4,1,0.88
MEDADV005,Nuclear-D,SCAF-04,Nuclear-D,nuclear_receptor,inflammation,cellular,120,1600,28,8,18,15,18,98,38,5.1,552,5.2,86,1,7,8,0.24,5,0,4.8,2,0.84
MEDADV006,Enzyme-E,SCAF-05,Enzyme-E,metabolic_enzyme,metabolic_disease,biochemical,32,5200,42,55,160,26,72,76,8,1.8,356,1.9,70,2,7,3,0.52,1,0,2.4,0,0.95
MEDADV007,Transporter-F,SCAF-06,Transporter-F,transporter,cardiometabolic,functional,15,180,2,11,22,19,30,94,28,3.6,426,3.8,74,1,6,5,0.34,3,1,3.5,1,0.89
MEDADV008,Kinase-A,SCAF-07,Kinase-A,kinase,oncology,biochemical,4,4800,25,30,34,16,55,90,15,2.4,488,4.6,105,2,8,7,0.30,4,0,4.1,1,0.91
MEDADV009,Epigenetic-G,SCAF-08,Epigenetic-G,epigenetic_target,oncology,biochemical,55,9000,60,62,240,5,90,72,6,0.9,310,1.2,96,3,8,2,0.58,1,0,2.2,0,0.96
MEDADV010,GPCR-B,SCAF-09,GPCR-B,gpcr,neuroscience,functional,22,650,6,25,75,30,46,86,16,3.8,405,3.1,68,1,6,5,0.44,2,1,3.0,0,0.93
