symbol,name,atomic_number,period,group,block,category,atomic_radius_pm,first_ionization_kj_mol,electronegativity_pauling
H,Hydrogen,1,1,1,s,nonmetal,53,1312,2.20
Li,Lithium,3,2,1,s,alkali metal,128,520,0.98
Be,Beryllium,4,2,2,s,alkaline earth metal,96,900,1.57
B,Boron,5,2,13,p,metalloid,84,801,2.04
C,Carbon,6,2,14,p,nonmetal,76,1086,2.55
N,Nitrogen,7,2,15,p,nonmetal,71,1402,3.04
O,Oxygen,8,2,16,p,nonmetal,66,1314,3.44
F,Fluorine,9,2,17,p,halogen,57,1681,3.98
Ne,Neon,10,2,18,p,noble gas,58,2081,
Na,Sodium,11,3,1,s,alkali metal,166,496,0.93
Mg,Magnesium,12,3,2,s,alkaline earth metal,141,738,1.31
Al,Aluminium,13,3,13,p,post-transition metal,121,578,1.61
Si,Silicon,14,3,14,p,metalloid,111,787,1.90
P,Phosphorus,15,3,15,p,nonmetal,107,1012,2.19
S,Sulfur,16,3,16,p,nonmetal,105,1000,2.58
Cl,Chlorine,17,3,17,p,halogen,102,1251,3.16
Ar,Argon,18,3,18,p,noble gas,106,1521,
Fe,Iron,26,4,8,d,transition metal,156,762,1.83
Cu,Copper,29,4,11,d,transition metal,145,745,1.90
Zn,Zinc,30,4,12,d,transition metal,142,906,1.65
