compound_id,project,scaffold_id,target,target_class,therapeutic_area,assay_type,ic50_nM,off_target_ic50_nM,hERG_ic50_uM,cyp3a4_ic50_uM,solubility_uM,permeability_10_6_cm_s,microsomal_half_life_min,plasma_protein_binding_percent,clearance_mL_min_kg,vd_L_kg,molecular_weight,clogP,tpsa,hbd,hba,rotatable_bonds,fsp3,aromatic_rings,formal_charge,synthetic_accessibility_score,alert_count,assay_qc_score,pIC50,selectivity_window,ligand_efficiency_proxy,lipophilic_ligand_efficiency,lipinski_violations,veber_violations,oral_property_score,safety_liability_score,developability_score,multiparameter_optimization_score,advancement_recommendation
MED001,Kinase-A,SCAF-01,Kinase-A,kinase,oncology,biochemical,18.0,2100.0,18.0,22.0,45.0,18.0,42.0,92.0,18.0,2.1,438.0,3.2,78.0,1.0,7.0,5.0,0.32,3.0,0.0,3.1,0.0,0.94,7.7447274948966935,116.66666666666667,0.2475483674167893,4.544727494896693,0,0,0.7347151822374908,0.0,0.7796503137831218,0.767083912060526,advance_to_integrated_profiling
MED002,Kinase-A,SCAF-01,Kinase-A,kinase,oncology,cellular,42.0,980.0,9.0,14.0,28.0,12.0,35.0,96.0,24.0,2.8,465.0,4.1,92.0,1.0,8.0,6.0,0.28,4.0,0.0,3.6,1.0,0.9,7.376750709602099,23.333333333333332,0.22209572028909547,3.2767507096020996,0,0,0.6677002903755747,0.2233333333333333,0.6768617682981177,0.6126100248696614,optimize_with_targeted_risk_reduction
MED003,GPCR-B,SCAF-02,GPCR-B,gpcr,neuroscience,binding,7.0,320.0,4.0,18.0,65.0,22.0,58.0,88.0,12.0,4.2,392.0,2.8,62.0,1.0,6.0,4.0,0.46,2.0,1.0,2.9,0.0,0.92,8.154901959985743,45.714285714285715,0.2912464985709194,5.354901959985743,0,0,0.8101023979594892,0.235,0.8091191726191546,0.7866029478290419,advance_to_integrated_profiling
MED004,Protease-C,SCAF-03,Protease-C,protease,infectious_disease,biochemical,85.0,7400.0,35.0,45.0,110.0,8.0,25.0,84.0,32.0,1.4,510.0,3.6,118.0,3.0,9.0,9.0,0.38,2.0,0.0,4.4,1.0,0.88,7.070581074285707,87.05882352941177,0.19409438243137234,3.470581074285707,1,0,0.6296500555534457,0.049999999999999996,0.6250997416659282,0.6270803995963408,optimize_with_targeted_risk_reduction
MED005,Nuclear-D,SCAF-04,Nuclear-D,nuclear_receptor,inflammation,cellular,120.0,1600.0,28.0,8.0,18.0,15.0,18.0,98.0,38.0,5.1,552.0,5.2,86.0,1.0,7.0,8.0,0.24,5.0,0.0,4.8,2.0,0.84,6.920818753952375,13.333333333333334,0.1755280118756037,1.7208187539523747,2,0,0.5302387177906935,0.4066666666666666,0.40347244011563166,0.4403694094738968,deprioritize_or_redesign
MED006,Enzyme-E,SCAF-05,Enzyme-E,metabolic_enzyme,metabolic_disease,biochemical,32.0,5200.0,42.0,55.0,160.0,26.0,72.0,76.0,8.0,1.8,356.0,1.9,70.0,2.0,7.0,3.0,0.52,1.0,0.0,2.4,0.0,0.95,7.494850021680094,162.5,0.2947412929874194,5.594850021680093,0,0,0.8924963464687247,0.0,0.9079292768196091,0.8382656228423012,advance_to_integrated_profiling
MED007,Transporter-F,SCAF-06,Transporter-F,transporter,cardiometabolic,functional,15.0,180.0,2.0,11.0,22.0,19.0,30.0,94.0,28.0,3.6,426.0,3.8,74.0,1.0,6.0,5.0,0.34,3.0,1.0,3.5,1.0,0.89,7.823908740944319,12.0,0.2571237614394847,4.023908740944319,0,0,0.6997258329918828,0.44249999999999995,0.6354734859916035,0.6338344740227769,optimize_with_targeted_risk_reduction
MED008,Kinase-A,SCAF-07,Kinase-A,kinase,oncology,biochemical,4.0,4800.0,25.0,30.0,34.0,16.0,55.0,90.0,15.0,2.4,488.0,4.6,105.0,2.0,8.0,7.0,0.3,4.0,0.0,4.1,1.0,0.91,8.397940008672037,1200.0,0.2409245084455093,3.797940008672038,0,0,0.7314104273240799,0.08333333333333333,0.7576603162300946,0.8028328368527473,advance_to_integrated_profiling
MED009,Epigenetic-G,SCAF-08,Epigenetic-G,epigenetic_target,oncology,biochemical,55.0,9000.0,60.0,62.0,240.0,5.0,90.0,72.0,6.0,0.9,310.0,1.2,96.0,3.0,8.0,2.0,0.58,1.0,0.0,2.2,0.0,0.96,7.259637310505756,163.63636363636363,0.32785458821638896,6.059637310505756,0,0,0.808,0.0,0.8944666666666666,0.8199429865034943,advance_to_integrated_profiling
MED010,GPCR-B,SCAF-09,GPCR-B,gpcr,neuroscience,functional,22.0,650.0,6.0,25.0,75.0,30.0,46.0,86.0,16.0,3.8,405.0,3.1,68.0,1.0,6.0,5.0,0.44,2.0,1.0,3.0,0.0,0.93,7.657577319177793,29.545454545454547,0.26470637646540524,4.557577319177794,0,0,0.8422994805166453,0.13999999999999999,0.8099159292919369,0.7388367429577707,advance_to_integrated_profiling
