sample_id,date,site,compartment,matrix_type,analyte,analyte_class,concentration,benchmark,unit,pH,temperature_c,organic_carbon_fraction,koc_L_kg,henry_atm_m3_mol,half_life_days,flow_L_s,water_depth_m,bulk_density_g_cm3,porosity_fraction,exposure_weight,receptor_sensitivity,redox_Eh_mV,dissolved_oxygen_mg_L,nitrate_mg_L,phosphate_mg_L,sulfate_mg_L,chloride_mg_L,qc_score,benchmark_ratio,load_kg_day,Kd_L_kg,retardation_factor_proxy,mobility_factor_proxy,henry_air_water_tendency,decay_constant_per_day,persistence_factor,pH_stress_index,redox_stress_index,oxygen_stress_index,nutrient_pressure_index,ionic_pressure_index,contaminant_pressure_index,chemical_habitability_pressure_index,evidence_weighted_habitability_pressure,monte_carlo_exceedance_probability,mc_concentration_p05,mc_concentration_p50,mc_concentration_p95,mc_uncertainty_sigma,attention_flag
ENVADV001,2026-04-01,SurfaceWater-A,surface_water,river_water,nitrate,nutrient,8.2,10.0,mg/L,7.6,15.0,0.001,5.0,1e-12,30.0,850.0,1.8,1.0,0.99,0.7,0.75,340.0,8.4,8.2,0.18,42.0,38.0,0.94,0.82,602.208,0.005,1.005050505050505,0.9974842727441168,3.3380820052842997e-10,0.023104906018664842,0.25,0.0,0.08,0.0,0.8599999999999999,0.0,0.3021034136312061,0.3002310240893618,0.2822171626440001,0.003,7.340841404059788,8.215194118063897,9.268120314810371,0.07100000000000002,monitor
ENVADV002,2026-04-01,Groundwater-B,groundwater,aquifer_water,arsenic,metalloid,13.5,10.0,ug/L,7.1,11.0,0.002,120.0,1e-12,99999.0,2.0,12.0,1.65,0.32,0.95,0.9,80.0,1.2,0.3,0.02,88.0,120.0,0.88,1.35,0.0023328,0.24,2.2375,0.6685262704648756,3.3380820052842997e-10,6.931541121010663e-06,0.999100800287744,0.0,0.08,0.76,0.065,0.04,0.6160391099344067,0.36081173298032204,0.3175143250226834,0.998,11.43514253605983,13.472385886873218,15.635245719000366,0.092,monitor
ENVADV003,2026-04-02,Soil-C,soil,topsoil,lead,metal,420.0,400.0,mg/kg,6.5,18.0,0.035,2500.0,1e-12,99999.0,0.0,0.0,1.32,0.45,0.85,0.88,260.0,0.0,18.0,32.0,60.0,52.0,0.84,1.05,,87.50000000000001,257.66666666666674,0.06229753753083832,3.3380820052842997e-10,6.931541121010663e-06,0.999100800287744,0.0,0.08,0.0,1.0,0.0,0.4451763115517623,0.37995289346552874,0.31916043051104415,0.673,352.03357822162747,420.4392691066807,499.57180314882845,0.10600000000000001,monitor
ENVADV004,2026-04-02,Sediment-D,sediment,bed_sediment,pyrene,pah,1.9,1.0,mg/kg,7.2,12.0,0.055,60000.0,1.2e-06,220.0,0.0,2.4,1.15,0.58,0.55,0.82,110.0,2.8,1.1,0.08,140.0,90.0,0.8,1.9,,3300.0,6544.103448275861,0.012361606704416777,0.0004003296910305436,0.003150669002545206,0.7096774193548387,0.0,0.0,0.0,0.255,0.0,0.3895110586325801,0.23125331758977402,0.18500265407181923,1.0,1.5746638035625555,1.895470032873533,2.294334718768949,0.11999999999999998,monitor
ENVADV005,2026-04-03,Air-E,air,urban_air,ozone,secondary_pollutant,0.078,0.07,ppm,7.0,28.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0012,0.99,0.9,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.114285714285714,,0.0,1.0,1.0,0.8004371064686714,8.664339756999317,0.0008880994671403197,0.0,0.6,0.0,0.0,0.0,0.4592411915488983,0.28257235746466947,0.25431512171820253,0.903,0.06824443455345532,0.07797144729285556,0.09083143410535233,0.08499999999999999,monitor
ENVADV006,2026-04-03,Stormwater-F,stormwater,urban_runoff,zinc,metal,160.0,120.0,ug/L,7.4,17.0,0.008,900.0,1e-12,80.0,220.0,0.3,1.0,0.9,0.72,0.78,220.0,6.2,4.4,0.38,75.0,105.0,0.82,1.3333333333333333,3.04128,7.2,9.0,0.3333333333333333,3.3380820052842997e-10,0.008664339756999316,0.47058823529411764,0.0,0.16,0.0,0.72,0.01,0.40173944698938985,0.325321834096817,0.2667639039593899,0.995,133.35572409220165,160.02322300676298,190.11754054202854,0.11300000000000002,monitor
ENVADV007,2026-04-04,Wetland-G,wetland_water,wetland_water,phosphate,nutrient,0.21,0.1,mg/L,6.8,21.0,0.012,80.0,1e-12,45.0,65.0,0.6,1.0,0.95,0.62,0.8,40.0,4.1,1.6,0.21,35.0,28.0,0.89,2.0999999999999996,1.1793600000000002,0.96,2.0105263157894737,0.7052532870911554,3.3380820052842997e-10,0.015403270679109895,0.3333333333333333,0.0,0.24,0.18000000000000008,0.58,0.0,0.3462258398946795,0.31186775196840383,0.2775622992518794,1.0,0.18070075607574707,0.21082782877490092,0.24283793214166696,0.0885,monitor
ENVADV008,2026-04-04,IndustrialSoil-H,soil,industrial_soil,cadmium,metal,4.2,3.0,mg/kg,5.4,19.0,0.022,1200.0,1e-12,99999.0,0.0,0.0,1.45,0.38,0.88,0.92,180.0,0.0,6.0,12.0,95.0,180.0,0.78,1.4000000000000001,,26.4,101.73684210526314,0.09914272999318614,3.3380820052842997e-10,6.931541121010663e-06,0.999100800287744,0.23999999999999985,0.24,0.0,0.8,0.16,0.48604644919606427,0.4266139347588192,0.33275886911187896,0.994,3.4494965886127797,4.191932195920072,5.174346486253424,0.127,monitor
ENVADV009,2026-04-05,Groundwater-I,groundwater,aquifer_water,TCE,chlorinated_solvent,8.5,5.0,ug/L,7.0,12.0,0.001,90.0,0.0091,365.0,4.0,8.5,1.7,0.3,0.93,0.91,-80.0,0.4,0.1,0.01,160.0,240.0,0.83,1.7,0.0029376,0.09,1.51,0.8137884587711595,0.7719432888786601,0.0018990333713971104,0.8021978021978022,0.0,0.72,0.9199999999999999,0.03,0.28,0.7173016672399851,0.5003905001719955,0.41532411514275624,1.0,7.063223489147496,8.505988131555217,10.045888916136546,0.10950000000000001,moderate_attention
ENVADV010,2026-04-05,Lake-J,surface_water,lake_water,microcystin,cyanotoxin,1.7,1.0,ug/L,8.6,25.0,0.004,300.0,1e-12,10.0,0.0,5.0,1.0,0.99,0.82,0.95,260.0,7.1,2.8,0.24,38.0,34.0,0.86,1.7,,1.2,2.212121212121212,0.6723502022908507,3.3380820052842997e-10,0.06931471805599453,0.1,0.039999999999999855,0.08,0.0,0.64,0.0,0.48002274533700706,0.3424068236011021,0.29446986829694777,1.0,1.4326525673329675,1.696357892829212,1.9924525961961694,0.099,monitor
