scenario,analyte,organic_carbon_fraction,henry_multiplier,relative_air_fraction_proxy,relative_solid_fraction_proxy,relative_water_fraction_proxy
multimedia_partition_proxy,pyrene,0.001,0.1,3.086879822982497e-05,0.4586324066808334,0.5413367245209368
multimedia_partition_proxy,pyrene,0.001,1.0,0.00030847860240325596,0.4585687452719547,0.5411227761256421
multimedia_partition_proxy,pyrene,0.001,10.0,0.003064035504816994,0.45793684167195225,0.5389991228232307
multimedia_partition_proxy,pyrene,0.01,0.1,2.7375285566455378e-05,0.6330735095082608,0.3668991152061727
multimedia_partition_proxy,pyrene,0.01,1.0,0.0002735714694972502,0.632995578300472,0.3667308502300307
multimedia_partition_proxy,pyrene,0.01,10.0,0.0027177360662229673,0.6322218997811043,0.36506036415267273
multimedia_partition_proxy,pyrene,0.03,0.1,2.67026973826504e-05,0.6666577657675391,0.33331553153507826
multimedia_partition_proxy,pyrene,0.03,1.0,0.00026685085124741865,0.6665777163829174,0.333155432765835
multimedia_partition_proxy,pyrene,0.03,10.0,0.0026510511513718107,0.6657829829495427,0.3315659658990855
multimedia_partition_proxy,pyrene,0.06,0.1,2.67026973826504e-05,0.6666577657675391,0.33331553153507826
multimedia_partition_proxy,pyrene,0.06,1.0,0.00026685085124741865,0.6665777163829174,0.333155432765835
multimedia_partition_proxy,pyrene,0.06,10.0,0.0026510511513718107,0.6657829829495427,0.3315659658990855
