step,time,concentration,fraction_remaining
0,0.0,8.2,1.0
1,1.0,7.890235462531989,0.9622238368941451
2,2.0,7.5921726407557815,0.9258747122872905
3,3.0,7.305369488750782,0.8908987181403393
4,4.0,7.029400659395196,0.8572439828530728
5,5.0,6.76385687354948,0.8248605943353026
6,6.0,6.508344313069617,0.7937005259840997
7,7.0,6.2624840367500365,0.7637175654573216
8,8.0,6.0259114183299545,0.7348672461377994
9,9.0,5.79827560572969,0.7071067811865476
10,10.0,5.579239000714945,0.6803950000871885
11,11.0,5.368476758217391,0.6546922875874868
12,12.0,5.165676304568979,0.6299605249474366
13,13.0,4.970536873935532,0.6061630334067722
14,14.0,4.782769062262077,0.5832645197880583
15,15.0,4.602094398068429,0.5612310241546865
16,16.0,4.4282449294584545,0.540029869446153
17,17.0,4.260962826730558,0.5196296130159217
18,18.0,4.1,0.5
19,19.0,3.9451177312659946,0.4811119184470726
20,20.0,3.7960863203778907,0.46293735614364523
21,21.0,3.6526847443753914,0.4454493590701697
22,22.0,3.5147003296975985,0.42862199142653645
23,23.0,3.38192843677474,0.4124302971676513
24,24.0,3.2541721565348083,0.39685026299204984
25,25.0,3.1312420183750183,0.3818587827286608
26,26.0,3.0129557091649772,0.3674336230688997
27,27.0,2.899137802864845,0.3535533905932738
28,28.0,2.7896195003574724,0.3401975000435942
29,29.0,2.6842383791086957,0.3273461437937434
30,30.0,2.5828381522844897,0.3149802624737183
