scenario,site,analyte,day,modeled_concentration,unit,fraction_remaining
first_order_decay,Groundwater-I,TCE,0,8.5,ug/L,1.0
first_order_decay,Groundwater-I,TCE,30,8.029282426261052,ug/L,0.9446214619130648
first_order_decay,Groundwater-I,TCE,60,7.584632503607594,ug/L,0.8923097063067758
first_order_decay,Groundwater-I,TCE,90,7.164606643631155,ug/L,0.842894899250724
first_order_decay,Groundwater-I,TCE,120,6.767841201738918,ug/L,0.7962166119692844
first_order_decay,Groundwater-I,TCE,150,6.393048049982089,ug/L,0.7521232999978928
first_order_decay,Groundwater-I,TCE,180,6.039010395054549,ug/L,0.7104718111828882
first_order_decay,Groundwater-I,TCE,210,5.704578827884623,ug/L,0.6711269209276027
first_order_decay,Groundwater-I,TCE,240,5.3886675919946905,ug/L,0.6339608931758459
first_order_decay,Groundwater-I,TCE,270,5.090251058513579,ug/L,0.5988530657074799
first_order_decay,Groundwater-I,TCE,300,4.808360396397623,ug/L,0.5656894583997203
first_order_decay,Groundwater-I,TCE,330,4.5420804270500055,ug/L,0.5343624031823536
first_order_decay,Groundwater-I,TCE,360,4.290546653126695,ug/L,0.5047701944854935
first_order_decay,Groundwater-I,TCE,390,4.052942451882745,ug/L,0.47681675904502885
first_order_decay,Groundwater-I,TCE,420,3.8284964239470005,ug/L,0.45041134399376476
first_order_decay,Groundwater-I,TCE,450,3.6164798889177563,ug/L,0.42546822222561836
first_order_decay,Groundwater-I,TCE,480,3.416204519648689,ug/L,0.40190641407631633
first_order_decay,Groundwater-I,TCE,510,3.2270201075445644,ug/L,0.37964942441700755
first_order_decay,Groundwater-I,TCE,540,3.0483124516116016,ug/L,0.35862499430724726
first_order_decay,Groundwater-I,TCE,570,2.87950136440915,ug/L,0.33876486640107645
first_order_decay,Groundwater-I,TCE,600,2.7200387884288357,ug/L,0.3200045633445689
first_order_decay,Groundwater-I,TCE,630,2.5694070167858887,ug/L,0.30228317844539865
first_order_decay,Groundwater-I,TCE,660,2.427117012445972,ug/L,0.28554317793482026
first_order_decay,Groundwater-I,TCE,690,2.2927068205307846,ug/L,0.2697302141800923
first_order_decay,Groundwater-I,TCE,720,2.165740068547845,ug/L,0.25479294924092294
