scenario,analyte,organic_carbon_fraction,porosity_fraction,Kd_L_kg,retardation_factor_proxy,mobility_factor_proxy
leaching_retardation,arsenic,0.001,0.25,0.12,1.7919999999999998,0.747017880833996
leaching_retardation,arsenic,0.001,0.35,0.12,1.5657142857142858,0.7991784102357002
leaching_retardation,arsenic,0.001,0.45,0.12,1.44,0.8333333333333334
leaching_retardation,arsenic,0.001,0.6,0.12,1.33,0.8671099695241199
leaching_retardation,arsenic,0.005,0.25,0.6,4.959999999999999,0.44901325506693734
leaching_retardation,arsenic,0.005,0.35,0.6,3.8285714285714283,0.511071452783998
leaching_retardation,arsenic,0.005,0.45,0.6,3.1999999999999997,0.5590169943749475
leaching_retardation,arsenic,0.005,0.6,0.6,2.65,0.6142951168339512
leaching_retardation,arsenic,0.01,0.25,1.2,8.919999999999998,0.33482476509121256
leaching_retardation,arsenic,0.01,0.35,1.2,6.657142857142857,0.38757527304341555
leaching_retardation,arsenic,0.01,0.45,1.2,5.3999999999999995,0.4303314829119352
leaching_retardation,arsenic,0.01,0.6,1.2,4.3,0.48224282217041214
leaching_retardation,arsenic,0.02,0.25,2.4,16.839999999999996,0.2436850894142897
leaching_retardation,arsenic,0.02,0.35,2.4,12.314285714285713,0.2849675359049195
leaching_retardation,arsenic,0.02,0.45,2.4,9.799999999999999,0.31943828249996997
leaching_retardation,arsenic,0.02,0.6,2.4,7.6,0.36273812505500586
leaching_retardation,arsenic,0.05,0.25,6.0,40.599999999999994,0.15694120514358614
leaching_retardation,arsenic,0.05,0.35,6.0,29.285714285714285,0.18478728707195916
leaching_retardation,arsenic,0.05,0.45,6.0,22.999999999999996,0.20851441405707477
leaching_retardation,arsenic,0.05,0.6,6.0,17.5,0.23904572186687872
